,Unnamed: 0,file,ut_epoch,ra,dec,jd,bjd_x,star_match,spec_bjd,photo_bjd,T_final,err_tot,phasemod,baseline_time,baseline_div_period,my_spec_bjd,my_phase,spec_file,#,filenames,mjd,hjd,bjd_y,elapsed_bjd_since_spec_01,curve,period,GCVS,Note,ndl_spec_bjd,number_cur,star_name,#Name,Period,Mag_Max,Mag_Min,Amp,Ave(M),Ave(I),Epoch_Max,Epoch_Min,Factor,Method,Order,Npts,Sigmaclip,Dates,Phases,ndl_phase,ndl_time_baselines,ndl_baseline_div_period,error_ndl_phase,error_my_phase
0,24.0,AR_Per_01.fits,2012-12-21 04:14:22.28,04:18:10.10,+47:20:05.40,2456282.67664676,2456282.6822751886,AR Per,2456282.6822751886,2456574.74991518,0.4255504703,6.505386482068921e-06,0.6709735386342572,-292.0676399911754,-686.3290264613657,56282.68227518862,0.6709735386342572,AR_Per_01.fits,3.0,AR_Per_01.fits,56282.1766467593,56282.6815040411,56282.6822672246,0.0,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56282.6822672246,3.0,AR_Per,AR_Per_E.cur_3,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1.0,Median,3.0,100.0,None,2456282.682267225,0.66695509,0.66695509,255.4721377755559,600.3330439157534,0.0039053984686288298,0.004464835570993291
1,96.0,AR_Per_02.fits,2012-12-21 04:27:07.07,04:18:10.40,+47:20:05.0,2456282.685498496,2456282.691126706,AR Per,2456282.691126706,2456574.74991518,0.4255504703,6.505386482068921e-06,0.6917736976641891,-292.05878847371787,-686.3082263023357,56282.69112670608,0.6917736976641891,AR_Per_02.fits,24.0,AR_Per_02.fits,56282.1854984954,56282.69035552,56282.69111870349,0.0088514789,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56282.69111870349,24.0,AR_Per,AR_Per_E.cur_24,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1.0,Median,3.0,100.0,None,2456282.6911187037,0.68775515,0.68775515,255.46328629666095,600.3122438578118,0.0039052631562130707,0.004464700257919912
2,118.0,AR_Per_03.fits,2012-12-21 06:08:14.21,04:18:12.40,+47:19:58.80,2456282.755720023,2456282.761346463,AR Per,2456282.761346463,2456574.74991518,0.4255504703,6.505386482068921e-06,0.8567829314358733,-291.9885687166825,-686.1432170685641,56282.761346463114,0.8567829314358733,AR_Per_03.fits,28.0,AR_Per_03.fits,56282.255720023095,56282.760574987304,56282.761338171105,0.0790709465,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56282.761338171105,28.0,AR_Per,AR_Per_E.cur_28,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1.0,Median,3.0,100.0,None,2456282.761338171,0.85276362,0.85276362,255.39306682904862,600.1472353872174,0.0039041897123390386,0.004463626809081118
3,74.0,AR_Per_04.fits,2012-12-21 07:08:50.50,04:18:14.90,+47:19:59.30,2456282.7978067133,2456282.803432178,AR Per,2456282.803432178,2456574.74991518,0.4255504703,6.505386482068921e-06,0.9556800495008702,-291.94648300157866,-686.0443199504991,56282.80343217822,0.9556800495008702,AR_Per_04.fits,16.0,AR_Per_04.fits,56282.297806712995,56282.802660425594,56282.803423609505,0.121156385,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56282.803423609505,16.0,AR_Per,AR_Per_E.cur_16,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1.0,Median,3.0,100.0,None,2456282.803423609,0.95166004,0.95166004,255.3509813906494,600.0483389691628,0.0039035463529179014,0.004462983445106142
4,81.0,AR_Per_05.fits,2012-12-21 07:32:16.76,04:18:17.00,+47:20:00.60,2456282.8140828703,2456282.819708069,AR Per,2456282.819708069,2456574.74991518,0.4255504703,6.505386482068921e-06,0.993926724744142,-291.9302071109414,-686.0060732752559,56282.819708068855,0.993926724744142,AR_Per_05.fits,21.0,AR_Per_05.fits,56282.3140828704,56282.8189360959,56282.819699279804,0.1374320553,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56282.819699279804,21.0,AR_Per,AR_Per_E.cur_21,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1.0,Median,3.0,100.0,None,2456282.81969928,0.98990618,0.98990618,255.33470572035003,600.0100928309433,0.003903297547007337,0.004462734635702031
5,46.0,AR_Per_06.fits,2012-12-21 07:51:03.83,04:18:18.00,+47:20:01.90,2456282.827127662,2456282.8327525686,AR Per,2456282.8327525686,2456574.74991518,0.4255504703,6.505386482068921e-06,0.02457996261500739,-291.91716261114925,-685.975420037385,56282.83275256865,0.02457996261500739,AR_Per_06.fits,9.0,AR_Per_06.fits,56282.327127662,56282.831980495896,56282.8327436799,0.1504764554,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56282.8327436799,9.0,AR_Per,AR_Per_E.cur_9,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1.0,Median,3.0,100.0,None,2456282.83274368,0.02055916,0.02055916,255.32166132025304,599.9794398427762,0.0039030981374724794,0.004462535224542754
6,55.0,AR_Per_07.fits,2012-12-21 08:14:07.25,04:18:19.50,+47:20:04.50,2456282.843139468,2456282.848764036,AR Per,2456282.848764036,2456574.74991518,0.4255504703,6.505386482068921e-06,0.06220526988397524,-291.90115114394575,-685.9377947301159,56282.84876403585,0.06220526988397524,AR_Per_07.fits,12.0,AR_Per_07.fits,56282.3431394676,56282.847991819406,56282.8487550035,0.1664877789,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56282.8487550035,12.0,AR_Per,AR_Per_E.cur_12,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1.0,Median,3.0,100.0,None,2456282.848755004,0.05818411,0.05818411,255.30564999665512,599.9418148919054,0.0039028533726256963,0.004462290457377462
7,68.0,AR_Per_08.fits,2012-12-22 04:36:40.09,04:18:10.10,+47:20:00.10,2456283.6921306713,2456283.6977288728,AR Per,2456283.6977288728,2456574.74991518,0.4255504703,6.505386482068921e-06,0.057185645103913885,-291.05218630703166,-683.9428143548961,56283.697728872765,0.057185645103913885,AR_Per_08.fits,14.0,AR_Per_08.fits,56283.1921306713,56283.6969574694,56283.6977206563,1.0154534318000001,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56283.6977206563,14.0,AR_Per,AR_Per_E.cur_14,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1.0,Median,3.0,100.0,None,2456283.697720656,0.0531654,0.0531654,254.45668434385152,597.9468336036708,0.0038898752483212343,0.004449312339012515
8,89.0,AR_Per_09.fits,2012-12-22 05:57:06.72,04:18:12.20,+47:20:01.0,2456283.7479944443,2456283.7535911626,AR Per,2456283.7535911626,2456574.74991518,0.4255504703,6.505386482068921e-06,0.1884563021754957,-290.99632401717827,-683.8115436978245,56283.75359116262,0.1884563021754957,AR_Per_09.fits,22.0,AR_Per_09.fits,56283.247994444406,56283.752819519,56283.7535827061,1.0713154815,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56283.7535827061,22.0,AR_Per,AR_Per_E.cur_22,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1.0,Median,3.0,100.0,None,2456283.7535827057,0.18443543,0.18443543,254.4008222940538,597.8155635767848,0.0038890212860628296,0.004448458372654509
9,43.0,AR_Per_10.fits,2012-12-22 07:39:54.86,04:18:17.40,+47:20:11.10,2456283.819384953,2456283.8249799497,AR Per,2456283.8249799497,2456574.74991518,0.4255504703,6.505386482068921e-06,0.3562126368682357,-290.924935230054,-683.6437873631318,56283.82497994974,0.3562126368682357,AR_Per_10.fits,6.0,AR_Per_10.fits,56283.3193849537,56283.8242077941,56283.8249709814,1.1427037569,AR_Per_E.cur,0.42555068451538897,0.42554892,“Picked East just because they look nearly the same”,56283.8249709814,6.0,AR_Per,AR_Per_E.cur_6,0.42555068451538897,14.904000000000002,14.071,0.833,14.548,14.606,2456538.154405,2456538.513078,1.0,Median,3.0,100.0,None,2456283.824970981,0.35219048,0.35219048,254.32943401875673,597.6478085292788,0.003887929974644485,0.004447367052862517
